id,prefecture_id,name,public,created_at,updated_at
1,1,ソンラ市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:44:16 UTC
2,2,ホアビン,true,2012-06-30 15:08:12 UTC,2012-08-09 16:47:00 UTC
3,3,ディエンビエンフー,true,2012-06-30 15:08:12 UTC,2012-08-09 16:47:21 UTC
4,4,ライチャウ市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:49:18 UTC
5,5,ラオカイ市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:50:32 UTC
6,6,ハザン市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:52:59 UTC
7,7,カオバン,true,2012-06-30 15:08:12 UTC,2012-08-09 16:53:40 UTC
8,8,イェンバイ市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:54:12 UTC
9,9,トゥエンクアン市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:54:41 UTC
10,10,ランソン市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:55:10 UTC
11,11,ハロン市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:55:36 UTC
12,12,千葉県 ,true,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
13,13,バックカン市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:56:26 UTC
14,14,フート市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:57:25 UTC
15,15,タイグエン市,true,2012-06-30 15:08:12 UTC,2012-08-09 16:57:49 UTC
16,16,ニンビン市,true,2012-06-30 15:08:12 UTC,2012-08-13 15:21:28 UTC
17,17,タイビン市,true,2012-06-30 15:08:12 UTC,2012-08-13 15:22:07 UTC
18,18,ハイズオン市,true,2012-06-30 15:08:12 UTC,2012-08-13 15:22:31 UTC
19,19,ハナム,true,2012-06-30 15:08:12 UTC,2012-08-13 15:23:03 UTC
20,20,フンイエン市,true,2012-06-30 15:08:12 UTC,2012-08-13 15:23:26 UTC
21,21,ナムディン市,true,2012-06-30 15:08:12 UTC,2012-08-13 15:24:30 UTC
22,22,バクニン市,true,2012-06-30 15:08:12 UTC,2012-08-13 15:24:50 UTC
23,23,ヴィンフック,true,2012-06-30 15:08:12 UTC,2012-08-13 15:25:10 UTC
24,24,タインホア市,true,2012-06-30 15:08:12 UTC,2012-08-13 15:25:33 UTC
