"id","prefecture_id","name","public","created_at","updated_at"
1,1,"Quận 1",1,"2012-06-30 15:08:12","2012-08-09 16:44:16"
2,1,"Quận 2",1,"2012-06-30 15:08:12","2012-08-09 16:47:00"
3,1,"Quận 3",1,"2012-06-30 15:08:12","2012-08-09 16:47:21"
4,1,"Quận 4",1,"2012-06-30 15:08:12","2012-08-09 16:49:18"
5,1,"Quận 5",1,"2012-06-30 15:08:12","2012-08-09 16:50:32"
6,1,"Quận 6",1,"2012-06-30 15:08:12","2012-08-09 16:52:59"
7,1,"Quận 7",1,"2012-06-30 15:08:12","2012-08-09 16:53:40"
8,1,"Quận 8",1,"2012-06-30 15:08:12","2012-08-09 16:54:12"
9,1,"Quận 9",1,"2012-06-30 15:08:12","2012-08-09 16:54:41"
10,1,"Quận 10",1,"2012-06-30 15:08:12","2012-08-09 16:55:10"
11,1,"Quận 11",1,"2012-06-30 15:08:12","2012-08-09 16:55:36"
12,1,"Quận 12",1,"2012-06-30 15:08:12","2012-06-30 15:08:12"
13,1,"Quận Gò Vấp",1,"2012-06-30 15:08:12","2012-08-09 16:56:26"
14,1,"Quận Tân Bình",1,"2012-06-30 15:08:12","2012-08-09 16:57:25"
15,1,"Quận Tân Phú",1,"2012-06-30 15:08:12","2012-08-09 16:57:49"
16,1,"Quận Bình Thạnh",1,"2012-06-30 15:08:12","2012-08-13 15:21:28"
17,1,"Quận Phú Nhuận",1,"2012-06-30 15:08:12","2012-08-13 15:22:07"
18,1,"Quận Thủ Đức",1,"2012-06-30 15:08:12","2012-08-13 15:22:31"
19,1,"Quận Bình Tân",1,"2012-06-30 15:08:12","2012-08-13 15:23:03"
20,1,"Củ Chi",1,"2012-06-30 15:08:12","2012-08-13 15:23:26"
21,1,"Hóc Môn",1,"2012-06-30 15:08:12","2012-08-13 15:24:30"
22,1,"Bình Chánh",1,"2012-06-30 15:08:12","2012-08-13 15:24:50"
23,1,"Nhà Bè",1,"2012-06-30 15:08:12","2012-08-13 15:25:10"
24,1,"Cần Giờ",1,"2012-06-30 15:08:12","2012-08-13 15:25:33"
25,2,"Quận Hoàn kiếm",1,"2012-06-30 15:08:12","2012-08-13 15:26:02"
26,2,"Quận Hai Bà Trưng",1,"2012-06-30 15:08:12","2012-08-13 15:26:27"
27,2,"Quận Ba Đình",1,"2012-06-30 15:08:12","2012-08-13 15:27:08"
28,2,"Quận Đống Đa",1,"2012-06-30 15:08:12","2012-08-13 15:27:43"
29,2,"Quận Tây Hồ",1,"2012-06-30 15:08:12","2012-08-13 15:28:25"
30,2,"Quận Thanh Xuân",1,"2012-06-30 15:08:12","2012-08-13 15:29:06"
31,2,"Quận Hoàng Mai",1,"2012-06-30 15:08:12","2012-08-13 15:30:35"
32,2,"Quận Long Biên",1,"2012-06-30 15:08:12","2012-06-30 15:08:12"
33,2,"Quận Hà Đông",1,"2012-06-30 15:08:12","2012-06-30 15:08:12"
34,2,"Quận Cầu Giấy",1,"2012-06-30 15:08:12","2012-08-13 15:35:38"
35,2,"Từ Liêm",1,"2012-06-30 15:08:12","2012-08-13 15:35:58"
36,2,"Thanh Trì",1,"2012-06-30 15:08:12","2012-08-13 15:36:34"
37,2,"Gia Lâm",1,"2012-06-30 15:08:12","2012-08-13 15:37:05"
38,2,"Đông Anh",1,"2012-06-30 15:08:12","2012-08-13 15:38:46"
39,2,"Sóc Sơn",1,"2012-06-30 15:08:12","2012-08-13 15:39:17"
40,2,"Mê Linh",1,"2012-06-30 15:08:12","2012-08-13 15:40:23"
41,2,"Thanh Oai",1,"2012-06-30 15:08:12","2012-08-13 15:40:44"
42,2,"Quốc Oai",1,"2012-06-30 15:08:12","2012-08-13 15:43:42"
43,2,"Chương Mỹ",1,"2012-06-30 15:08:12","2012-08-13 15:44:15"
44,2,"Thạch Thất",1,"2012-06-30 15:08:12","2012-08-13 15:44:37"
45,2,"Ba Vì",1,"2012-06-30 15:08:12","2012-08-13 15:44:58"
46,2,"Ứng Hòa",1,"2012-06-30 15:08:12","2012-08-13 15:45:30"
47,2,"Phú Xuyên",1,"2012-06-30 15:08:12","2012-06-30 15:08:12"
48,2,"Hoài Đức",1,"2012-08-09 16:44:30","2012-08-09 16:44:30"
49,2,"Mỹ Đức",1,"2012-08-09 16:44:46","2012-08-09 16:44:46"
50,2,"Đan Phượng",1,"2012-08-09 16:45:00","2012-08-09 16:45:00"
51,2,"Phúc Thọ",1,"2012-08-09 16:45:10","2012-08-09 16:45:10"
52,2,"Thường Tín",1,"2012-08-09 16:45:22","2012-08-09 16:45:22"
53,2,"Sơn Tây",1,"2012-08-09 16:45:33","2012-08-09 16:45:33"
54,3,"Quận Hải Châu",1,"2012-08-09 16:45:44","2012-08-09 16:45:44"
55,3,"Quận Thanh Khê",1,"2012-08-09 16:45:54","2012-08-09 16:45:54"
56,3,"Quận Sơn Trà",1,"2012-08-09 16:46:07","2012-08-09 16:46:07"
57,3,"Quận Ngũ Hành Sơn",1,"2012-08-09 16:46:17","2012-08-09 16:46:17"
58,3,"Quận Liên Chiểu",1,"2012-08-09 16:47:32","2012-08-09 16:47:32"
59,3,"Quận Cẩm Lệ",1,"2012-08-09 16:47:43","2012-09-06 12:50:10"
60,3,"Huyện Hòa Vang",1,"2012-08-09 16:47:54","2012-08-09 16:47:54"
61,3,"Huyện đảo Hoàng Sa",1,"2012-08-09 16:48:04","2012-09-06 12:50:20"
62,4,"Quận Dương Kinh",1,"2012-08-09 16:48:16","2012-08-09 16:48:16"
63,4,"Quận Đồ Sơn",1,"2012-08-09 16:48:26","2012-08-09 16:48:26"
64,4,"Quận Hải An",1,"2012-08-09 16:48:37","2012-08-09 16:48:37"
65,4,"Quận Hồng Bàng",1,"2012-08-09 16:48:47","2012-08-09 16:48:47"
66,4,"Quận Kiến An",1,"2012-08-09 16:49:29","2012-08-09 16:49:29"
67,4,"Quận Lê Chân",1,"2012-08-09 16:49:40","2012-08-09 16:49:40"
68,4,"Quận Ngô Quyền",1,"2012-08-09 16:49:50","2012-08-09 16:49:50"
69,4,"Huyện An Dương",1,"2012-08-09 16:49:59","2012-08-09 16:49:59"
70,4,"Huyện An Lão",1,"2012-08-09 16:50:08","2012-08-09 16:50:08"
71,4,"Huyện Bạch Long Vĩ",1,"2012-08-09 16:50:47","2012-08-09 16:50:47"
72,4,"Huyện Cát Hải",1,"2012-08-09 16:50:58","2012-08-09 16:50:58"
73,4,"Huyện Kiến Thụy",1,"2012-08-09 16:51:11","2012-08-09 16:51:11"
74,4,"Huyện Thủy Nguyên",1,"2012-08-09 16:51:23","2012-08-09 16:51:23"
75,4,"Huyện Tiên Lãng",1,"2012-08-09 16:51:34","2012-08-09 16:51:34"
76,4,"Huyện Vĩnh Bảo",1,"2012-08-09 16:51:46","2012-08-09 16:51:46"
77,5,"Thừa Thiên - Huế",1,"2012-08-09 16:51:56","2012-08-09 16:51:56"
78,6,"An Giang",1,"2012-08-09 16:52:05","2012-08-09 16:52:05"
