id,name,calory,amount,unit,created_at,updated_at
1,Bắp cải trắng,20,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
2,Dưa chuột ta,10,1,quả,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
3,Dưa leo,10,1,quả,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
4,Khổ qua,34,1,quả,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
5,Mướp đắng,34,1,quả,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
6,Xà lách ria,14,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
7,Xà lách ria,24,1,cây,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
8,Xa lách xoăn,16,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
9,Xa lách xoăn,26,1,cây,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
10,Xà lách cuộn,12,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
11,Xà lách cuộn,25,1,cây,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
12,Cần tây,12,1,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
13,Cần tây,20,1,cọng,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
14,Cần tây,20,1,cây,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
15,Rau mầm đậu tương,12,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
16,Rau lang,20,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
17,Rau Lang,100,1,bó,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
18,Cải thìa,12,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
19,Cải thìa,20,1,cây,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
20,Cải thìa,100,1,bó,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
21,Cải ngọt,14,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
22,Cải ngọt,100,1,bó,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
23,Cải ngọt,20,1,cây,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
24,Cải bẹ xanh,14,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
25,Cải bẹ xanh,80,1,bó,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
26,Cải chíp,14,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
27,Cải chíp,70,1,bó,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
28,Rau cải cúc,22,100,g,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
29,Rau cải cúc,100,1,bó,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
30,Cải thảo,180,1,cây,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
31,Củ cải đỏ,13,1,củ,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
32,Củ cải trắng,18,100,củ,2012-12-24 07:15:40 UTC,2012-12-24 07:15:40 UTC
33,Cà rốt,80,1,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
34,Gobo,76,1,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
35,Khoai tây,160,1,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
36,Khoai lang,250,1,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
37,Khoai môn,130,1,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
38,Khoai từ,65,100,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
39,Khoai từ,65,100,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
40,Hành tây,80,1,củ,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
41,Hành lá,27,1,g,2012-12-24 07:38:17 UTC,2012-12-24 07:38:17 UTC
