id,name,public,created_at,updated_at
1,Sơn La,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
2,Hoà Bình,true,2012-04-30 13:40:29 UTC,2012-09-06 12:48:49 UTC
3,Điện Biên,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
4,Lai Châu,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
5,"Lào Cai,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
6,Hà Giang,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
7,Cao Bằng,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
8,"Yên Bái,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
9,Tuyên Quang,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
10,"Lạng Sơn,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
11,Quảng Ninh,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
12,Bắc Kạn,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
13,Bắc Giang,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
14,Phú Thọ,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
15,Thái Nguyên,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
16,Ninh Bình,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
17,Thái Bình,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
18,Hải Dương,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
19,Hà Nam,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
20,"Hưng Yên,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
21,Nam Định,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
22,Bắc Ninh,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
23,Vĩnh Phúc,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
24,Thanh Hóa,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
25,Nghệ An,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
26,Hà Tĩnh,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
27,Quảng Bình,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
28,Quảng Trị,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
29,"Thừa Thiên–Huế,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
30,Quảng Nam,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
31,"Quảng Ngãi,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
32,Bình Định,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
33,Phú Yên,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
34,Khánh Hòa,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
35,Kon Tum,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
36,"Gia Lai,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
37,Đăk Lăk,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
38,Đăk Nông,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
39,Lâm Đồng,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
40,Ninh Thuận,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
41,"Tây Ninh,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
42,"Đồng Nai,",true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
43,Bình Thuận,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
44,Bà Rịa-Vũng Tàu,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
45,Bình Dương,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
46,Bình Phước,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
47,Long An,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
48,An Giang,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
49,Đồng Tháp,true,2012-04-30 13:40:29 UTC,2012-04-30 13:40:29 UTC
50,Tiền Giang,true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
51,Kiên Giang,true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
52,Vĩnh Long,true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
53,Bến Tre,true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
54,"Trà Vinh,",true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
55,Sóc Trăng,true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
56,Hậu Giang,true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
57,Bạc Liêu,true,2012-04-30 13:40:30 UTC,2012-04-30 13:40:30 UTC
