id,prefecture_id,name,created_at,updated_at
1,1,北海道,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
2,2,青森県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
3,3,岩手県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
4,4,宮城県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
5,5,秋田県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
6,6,山形県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
7,7,福島県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
8,8,茨城県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
9,9,栃木県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
10,10,群馬県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
11,11,埼玉県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
12,12,千葉県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
13,13,東京都 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
14,14,神奈川県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
15,15,新潟県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
16,16,富山県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
17,17,石川県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
18,18,福井県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
19,19,山梨県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
20,20,長野県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
21,21,岐阜県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
22,22,静岡県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
23,23,愛知県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
24,24,三重県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
25,25,滋賀県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
26,26,京都府 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
27,27,大阪府,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
28,28,兵庫県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
29,29,奈良県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
30,30,和歌山県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
31,31,鳥取県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
32,32,島根県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
33,33,岡山県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
34,34,広島県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
35,35,山口県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
36,36,徳島県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
37,37,香川県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
38,38,愛媛県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
39,39,高知県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
40,40,福岡県 ,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
41,41,佐賀県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
42,42,長崎県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
43,43,熊本県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
44,44,大分県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
45,45,宮崎県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
46,46,鹿児島県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
47,47,沖縄県,2012-06-30 15:08:12 UTC,2012-06-30 15:08:12 UTC
