id,name,created_at,updated_at
1,エスニック・アジア料理店,2012-04-30 14:02:11 UTC,2012-04-30 14:02:11 UTC
2,オーガニック・創作料理店,2012-04-30 14:02:11 UTC,2012-04-30 14:02:11 UTC
3,お好み焼き屋・粉物,2012-04-30 14:02:11 UTC,2012-04-30 14:02:11 UTC
4,お酒,2012-04-30 14:02:11 UTC,2012-04-30 14:02:11 UTC
5,カフェ・スイーツ,2012-04-30 14:02:11 UTC,2012-04-30 14:02:11 UTC
6,カレー屋,2012-04-30 14:02:11 UTC,2012-04-30 14:02:11 UTC
7,すし屋・魚料理の店,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
8,ファミレス・ファーストフード,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
9,バー・ビアホール,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
10,ラーメン・麺料理,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
11,欧米・各国料理店,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
12,宴会・カラオケ・エンターテイメント,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
13,居酒屋・飲み屋,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
14,焼き鳥屋・肉料理,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
15,焼肉・ホルモン,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
16,中華料理店,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
17,鍋料理店,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
18,日本料理店・郷土料理店,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
19,洋食屋・洋食レストラン,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
20,和食店・和食レストラン,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
21,イタリアンレストラン・フレンチレストラン,2012-04-30 14:02:12 UTC,2012-04-30 14:02:12 UTC
