"id","name","created_at","updated_at"
1,"Sơn La","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
2,"Hoà Bình","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
3,"Điện Biên","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
4,"Lai Châu","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
5,"Lào Cai,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
6,"Hà Giang","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
7,"Cao Bằng","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
8,"Yên Bái,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
9,"Tuyên Quang","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
10,"Lạng Sơn,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
11,"Quảng Ninh","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
12,"Bắc Kạn","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
13,"Bắc Giang","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
14,"Phú Thọ","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
15,"Thái Nguyên","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
16,"Ninh Bình","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
17,"Thái Bình","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
18,"Hải Dương","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
19,"Hà Nam","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
20,"Hưng Yên,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
21,"Nam Định","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
22,"Bắc Ninh","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
23,"Vĩnh Phúc","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
24,"Thanh Hóa","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
25,"Nghệ An","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
26,"Hà Tĩnh","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
27,"Quảng Bình","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
28,"Quảng Trị","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
29,"Thừa Thiên–Huế,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
30,"Quảng Nam","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
31,"Quảng Ngãi,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
32,"Bình Định","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
33,"Phú Yên","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
34,"Khánh Hòa","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
35,"Kon Tum","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
36,"Gia Lai,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
37,"Đăk Lăk","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
38,"Đăk Nông","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
39,"Lâm Đồng","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
40,"Ninh Thuận","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
41,"Tây Ninh,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
42,"Đồng Nai,","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
43,"Bình Thuận","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
44,"Bà Rịa-Vũng Tàu","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
45,"Bình Dương","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
46,"Bình Phước","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
47,"Long An","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
48,"An Giang","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
49,"Đồng Tháp","2012-04-30 13:40:29 UTC","2012-04-30 13:40:29 UTC"
50,"Tiền Giang","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
51,"Kiên Giang","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
52,"Vĩnh Long","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
53,"Bến Tre","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
54,"Trà Vinh,","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
55,"Sóc Trăng","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
56,"Hậu Giang","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
57,"Bạc Liêu","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
58,"Cà Mau","2012-04-30 13:40:30 UTC","2012-04-30 13:40:30 UTC"
